Sample	SampleName	Reference	Unmodified	Reads_aligned	Knockout	Reason	Insertions	Deletions	Substitutions
MmMsh2ex12	H12_MmMsh2ex12	Mm	57.92592593	675	NO	Unmodified	NA	NA	NA
MmMsh2ex12	H12_MmMsh2ex12	MSpretus	0.82521784	39020	YES	Frameshift	0,	5,	0,
HsREV7	D1_HsREV7	HsREV7	95.99973017	14824	NO	Unmodified	NA	NA	NA
HsREV7	E9_HsREV7	HsREV7	94.87805767	27431	NO	Unmodified	NA	NA	NA
MmMsh2ex12	D11_MmMsh2ex12	Mm	69.33601987	21341	NO	Unmodified	NA	NA	NA
MmMsh2ex12	D11_MmMsh2ex12	MSpretus	95.38930522	7873	NO	Unmodified	NA	NA	NA
MmMsh2ex12	H6_MmMsh2ex12	Mm	0.53114168	17886	YES	Frameshift	0,	4,	0,
MmMsh2ex12	H6_MmMsh2ex12	MSpretus	0.36669213	13090	YES	Frameshift	0,0,	2,4,	0,0,
MmMsh2ex12	G6_MmMsh2ex12	Mm	59.55734406	497	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G6_MmMsh2ex12	MSpretus	0.41911359	39846	YES	Frameshift	0,	1,	0,
MmMsh2ex12	D6_MmMsh2ex12	Mm	0.48721659	20730	NO	InFrame	0,	0,	2,
MmMsh2ex12	D6_MmMsh2ex12	MSpretus	0.38626609	16310	NO	InFrame	0,	5,	0,
HsREV7	F11_HsREV7	HsREV7	54.66448445	39104	NO	Unmodified	NA	NA	NA
MmMsh2ex12	B6_MmMsh2ex12	Mm	0.41442003	22441	YES	Frameshift	0,	26,	0,
MmMsh2ex12	B6_MmMsh2ex12	MSpretus	0.21573422	13906	YES	Frameshift	0,	1,	0,
HsREV7	H5_HsREV7	HsREV7	57.74962206	27782	NO	Unmodified	NA	NA	NA
MmMsh2ex12	A6_MmMsh2ex12	Mm	0.5312085	21084	NO	InFrame	0,0,	5,3,	0,0,
MmMsh2ex12	A6_MmMsh2ex12	MSpretus	0.28051294	17468	NO	InFrame	0,0,	3,5,	0,0,
HsREV7	B7_HsREV7	HsREV7	36.13582584	42260	NO	Unmodified	NA	NA	NA
HsREV7	G6_HsREV7	HsREV7	95.09022923	36906	NO	Unmodified	NA	NA	NA
HsREV7	A8_HsREV7	HsREV7	0.25487256	13340	YES	Frameshift	0,	1,	0,
MmMsh2ex12	F9_MmMsh2ex12	Mm	0.78500293	25605	NO	InFrame	0,0,	5,6,	0,0,
MmMsh2ex12	F9_MmMsh2ex12	MSpretus	0.29072786	19262	NO	InFrame	0,0,	6,5,	0,0,
HsREV7	E1_HsREV7	HsREV7	96.3426224	32619	NO	Unmodified	NA	NA	NA
HsREV7	D9_HsREV7	HsREV7	45.7447956	27813	NO	Unmodified	NA	NA	NA
MmMsh2ex12	E9_MmMsh2ex12	Mm	6.09554585	27233	NO	Unmodified	NA	NA	NA
MmMsh2ex12	E9_MmMsh2ex12	MSpretus	69.89690722	485	NO	Unmodified	NA	NA	NA
MmMsh2ex12	E12_MmMsh2ex12	Mm	1.32113821	7872	NO	InFrame	0,	67,	0,
MmMsh2ex12	E12_MmMsh2ex12	MSpretus	0.30734842	7158	NO	InFrame	0,	6,	0,
MmMsh2ex12	C9_MmMsh2ex12	Mm	0.24941669	24858	NO	InFrame	0,0,	4,6,	0,0,
MmMsh2ex12	C9_MmMsh2ex12	MSpretus	0.12483717	18424	NO	InFrame	0,0,	6,4,	0,0,
HsREV7	A10_HsREV7	HsREV7	95.73598625	35483	NO	Unmodified	NA	NA	NA
MmMsh2ex12	H2_MmMsh2ex12	Mm	99.25285256	24627	NO	Unmodified	NA	NA	NA
MmMsh2ex12	H2_MmMsh2ex12	MSpretus	99.01518945	5991	NO	Unmodified	NA	NA	NA
MmMsh2ex12	D2_MmMsh2ex12	Mm	35.95505618	623	NO	Unmodified	NA	NA	NA
MmMsh2ex12	D2_MmMsh2ex12	MSpretus	0.65379651	35638	YES	Frameshift	0,	2,	0,
MmMsh2ex12	G2_MmMsh2ex12	Mm	92.39200197	20255	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G2_MmMsh2ex12	MSpretus	8.73896009	15059	NO	Unmodified	NA	NA	NA
MmMsh2ex12	A2_MmMsh2ex12	Mm	88.40206186	388	NO	Unmodified	NA	NA	NA
MmMsh2ex12	A2_MmMsh2ex12	MSpretus	0.93135203	19112	YES	Frameshift	0,	41,	0,
HsREV7	G10_HsREV7	HsREV7	95.67216421	33712	NO	Unmodified	NA	NA	NA
HsREV7	F6_HsREV7	HsREV7	56.41287854	30314	NO	Unmodified	NA	NA	NA
HsREV7	C7_HsREV7	HsREV7	83.03948664	31479	NO	Unmodified	NA	NA	NA
MmMsh2ex12	B2_MmMsh2ex12	Mm	93.12	625	NO	Unmodified	NA	NA	NA
MmMsh2ex12	B2_MmMsh2ex12	MSpretus	7.2962075	18352	NO	Unmodified	NA	NA	NA
MmMsh2ex12	C5_MmMsh2ex12	Mm	0.69313877	35635	YES	Frameshift	0,	5,	0,
MmMsh2ex12	C5_MmMsh2ex12	MSpretus	1.35135135	148	NO	InsufficientData	NA	NA	NA
HsREV7	F1_HsREV7	HsREV7	2.8776095	24430	NO	InFrame	0,0,0,	3,8,1,	0,0,0,
HsREV7	G9_HsREV7	HsREV7	96.1591646	41944	NO	Unmodified	NA	NA	NA
HsREV7	B8_HsREV7	HsREV7	95.80081345	36388	NO	Unmodified	NA	NA	NA
MmMsh2ex12	E5_MmMsh2ex12	Mm	0.17460073	19473	YES	Frameshift	0,0,	5,13,	0,0,
MmMsh2ex12	E5_MmMsh2ex12	MSpretus	0.09170429	14176	YES	Frameshift	0,0,	13,5,	0,0,
MmMsh2ex12	F5_MmMsh2ex12	Mm	0.22155755	18054	YES	Frameshift	0,0,	5,4,	0,0,
MmMsh2ex12	F5_MmMsh2ex12	MSpretus	0.10003848	12995	YES	Frameshift	0,0,	4,5,	0,0,
HsREV7	E6_HsREV7	HsREV7	95.95775674	32952	NO	Unmodified	NA	NA	NA
MmMsh2ex12	C11_MmMsh2ex12	Mm	0.62756383	32666	YES	Frameshift	0,	17,	0,
MmMsh2ex12	C11_MmMsh2ex12	MSpretus	20.52238806	268	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G10_MmMsh2ex12	Mm	73.15540696	17348	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G10_MmMsh2ex12	MSpretus	7.30094124	7862	NO	Unmodified	NA	NA	NA
MmMsh2ex12	C1_MmMsh2ex12	Mm	98.87231461	28022	NO	Unmodified	NA	NA	NA
MmMsh2ex12	C1_MmMsh2ex12	MSpretus	88.88888889	180	NO	Unmodified	NA	NA	NA
HsREV7	H2_HsREV7	HsREV7	47.10060095	25626	NO	Unmodified	NA	NA	NA
HsREV7	C8_HsREV7	HsREV7	33.33333333	51	NO	Unmodified	NA	NA	NA
HsREV7	G1_HsREV7	HsREV7	95.65217391	27945	NO	Unmodified	NA	NA	NA
HsREV7	F9_HsREV7	HsREV7	96.293089	35798	NO	Unmodified	NA	NA	NA
MmMsh2ex12	F1_MmMsh2ex12	Mm	8.38095238	14175	NO	Unmodified	NA	NA	NA
MmMsh2ex12	F1_MmMsh2ex12	MSpretus	0.76040067	13677	NO	InFrame	0,	24,	0,
HsREV7	C12_HsREV7	HsREV7	96.54038221	41652	NO	Unmodified	NA	NA	NA
MmMsh2ex12	E1_MmMsh2ex12	Mm	0.79204584	23736	YES	Frameshift	0,0,	4,2,	0,0,
MmMsh2ex12	E1_MmMsh2ex12	MSpretus	0.35509594	16052	YES	Frameshift	0,0,	2,4,	0,0,
MmMsh2ex12	B12_MmMsh2ex12	Mm	3.49048905	15929	NO	InFrame	0,	6,	0,
MmMsh2ex12	B12_MmMsh2ex12	MSpretus	2.68880706	14393	NO	InFrame	0,0,	5,6,	0,0,
HsREV7	D6_HsREV7	HsREV7	23.80230106	27031	NO	Unmodified	NA	NA	NA
HsREV7	E12_HsREV7	HsREV7	94.60909834	36710	NO	Unmodified	NA	NA	NA
HsREV7	A7_HsREV7	HsREV7	96.03242321	28128	NO	Unmodified	NA	NA	NA
HsREV7	A11_HsREV7	HsREV7	6.88430028	23924	NO	Unmodified	NA	NA	NA
MmMsh2ex12	C4_MmMsh2ex12	Mm	1.52901245	30935	YES	Frameshift	0,	1,	0,
MmMsh2ex12	C4_MmMsh2ex12	MSpretus	7.23140496	484	NO	Unmodified	NA	NA	NA
HsREV7	A9_HsREV7	HsREV7	27.10468014	14444	NO	Unmodified	NA	NA	NA
MmMsh2ex12	E4_MmMsh2ex12	Mm	0.19934438	22574	YES	Frameshift	0,0,	1,4,	0,0,
MmMsh2ex12	E4_MmMsh2ex12	MSpretus	0.07200838	15276	YES	Frameshift	0,0,	4,1,	0,0,
HsREV7	D8_HsREV7	HsREV7	40.40589314	33802	NO	Unmodified	NA	NA	NA
MmMsh2ex12	F4_MmMsh2ex12	Mm	0.91023666	28564	YES	Frameshift	0,	25,	0,
MmMsh2ex12	F4_MmMsh2ex12	MSpretus	73.88688327	831	NO	Unmodified	NA	NA	NA
HsREV7	G11_HsREV7	HsREV7	92.58745925	38961	NO	Unmodified	NA	NA	NA
HsREV7	F7_HsREV7	HsREV7	95.32303543	16314	NO	Unmodified	NA	NA	NA
HsREV7	C6_HsREV7	HsREV7	95.62653205	41203	NO	Unmodified	NA	NA	NA
MmMsh2ex12	C10_MmMsh2ex12	Mm	0.92119504	39731	YES	Frameshift	0,	1,	0,
MmMsh2ex12	C10_MmMsh2ex12	MSpretus	2.09205021	239	NO	InsufficientData	NA	NA	NA
MmMsh2ex12	G11_MmMsh2ex12	Mm	1.34610568	15972	NO	InFrame	0,	6,	0,
MmMsh2ex12	G11_MmMsh2ex12	MSpretus	0.2634577	14044	NO	InFrame	0,	18,	0,
HsREV7	E8_HsREV7	HsREV7	96.52313531	34255	NO	Unmodified	NA	NA	NA
HsREV7	A1_HsREV7	HsREV7	96.10261095	26274	NO	Unmodified	NA	NA	NA
HsREV7	F10_HsREV7	HsREV7	96.32204473	39125	NO	Unmodified	NA	NA	NA
MmMsh2ex12	F12_MmMsh2ex12	Mm	2.01917922	33578	YES	Frameshift	0,	4,	0,
MmMsh2ex12	F12_MmMsh2ex12	MSpretus	52.12355212	777	NO	Unmodified	NA	NA	NA
HsREV7	H4_HsREV7	HsREV7	61.98320222	33814	NO	Unmodified	NA	NA	NA
HsREV7	B6_HsREV7	HsREV7	95.54523302	26264	NO	Unmodified	NA	NA	NA
HsREV7	G7_HsREV7	HsREV7	68.83344422	45090	NO	Unmodified	NA	NA	NA
MmMsh2ex12	D10_MmMsh2ex12	Mm	0.12518909	19171	YES	Frameshift	0,	25,	0,
MmMsh2ex12	D10_MmMsh2ex12	MSpretus	0.32558958	11364	YES	Frameshift	0,	2,	0,
MmMsh2ex12	H7_MmMsh2ex12	Mm	50.4	875	NO	Unmodified	NA	NA	NA
MmMsh2ex12	H7_MmMsh2ex12	MSpretus	0.83902439	30750	YES	Frameshift	0,	2,	0,
HsREV7	H3_HsREV7	HsREV7	49.01587437	46742	NO	Unmodified	NA	NA	NA
HsREV7	C9_HsREV7	HsREV7	95.89765325	44828	NO	Unmodified	NA	NA	NA
HsREV7	B1_HsREV7	HsREV7	24.57580733	14616	NO	Unmodified	NA	NA	NA
HsREV7	F8_HsREV7	HsREV7	13.2114768	36491	NO	Unmodified	NA	NA	NA
HsREV7	D7_HsREV7	HsREV7	95.53222019	30664	NO	Unmodified	NA	NA	NA
HsREV7	A6_HsREV7	HsREV7	92.58072297	29019	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G7_MmMsh2ex12	Mm	99.33796222	37158	NO	Unmodified	NA	NA	NA
MmMsh2ex12	G7_MmMsh2ex12	MSpretus	71.89542484	153	NO	Unmodified	NA	NA	NA
MmMsh2ex12	D7_MmMsh2ex12	Mm	22.42647059	544	NO	Unmodified	NA	NA	NA
MmMsh2ex12	D7_MmMsh2ex12	MSpretus	0.38594186	36534	YES	Frameshift	0,	4,	0,
HsREV7	H12_HsREV7	HsREV7	92.01701882	55468	NO	Unmodified	NA	NA	NA
MmMsh2ex12	B7_MmMsh2ex12	Mm	49.65034965	572	NO	Unmodified	NA	NA	NA
